44 1001
Wienhold, Frank G.
Institute for Atmospheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2018 03 05  2018 03 05
0.0
time in minutes since 2018-03-05 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    937.40      4.12      1.33     82.02     -1.52     -5.00      0.00      1.53      1.58    275.00      3.08    257.00      0.13     -1.52         0        30         0         6
        10    937.44      3.46      1.14     84.76     -1.43     -5.00      0.00      1.22      1.26    259.00      2.57    257.00     -0.24     -1.20         0        40         0         6
        20    937.43      3.48      1.14     84.66     -1.48     -4.00      0.00      1.52      1.55    262.00      2.85    252.00     -0.22     -1.50         0        30         0         6
        30    937.43      3.31      1.13     85.59     -1.43     -4.00      0.00      1.20      1.26    254.00      2.14    217.00     -0.33     -1.16         0        30         0         6
        40    937.48      3.49      1.18     84.80     -1.46     -3.00      0.00      0.50      0.51    269.00      1.43    282.00     -0.01     -0.50         0        30         0         6
        50    937.41      3.36      1.13     85.31     -1.44     -3.00      0.00      0.81      0.81    269.00      1.70    270.00     -0.02     -0.81         0        30         0         6
        60    937.42      3.27      1.09     85.56     -1.40     -3.00      0.00      0.91      0.91    270.00      1.50    270.00      0.00     -0.91         0        30         0         6
        70    937.35      2.85      1.05     87.90     -1.40     -3.00      0.00      0.69      0.69    270.00      1.10    270.00      0.00     -0.69         0        40         0         6
        80    937.30      3.37      1.21     85.75     -1.38     -3.00      0.00      0.61      0.61    270.00      1.70    270.00      0.00     -0.61         0        30         0         6
        90    937.29      3.58      1.29     84.96     -1.40     -3.00      0.00      0.70      0.71    269.00      1.60    274.00     -0.02     -0.70         0        30         0         6
       100    937.20      3.26      1.25     86.67     -1.41     -3.00      0.00      0.14      0.18    243.00      1.12    207.00     -0.06     -0.13         0        40         0         6
       110    937.09      3.46      1.28     85.57     -1.41     -3.00      0.00      0.03      0.04    270.00      0.40    270.00      0.00     -0.03         0        30         0         6
       120    937.06      2.86      1.08     88.03     -1.42     -3.00      0.00      0.01      0.01    270.00      0.30    270.00      0.00     -0.01         0        40         0         6
       130    936.94      3.61      1.34     85.04     -1.43     -3.00      0.00      0.03      0.04    270.00      0.50    270.00      0.00     -0.03         0        30         0         6
       140    936.86      3.66      1.42     85.29     -1.45     -3.00      0.00      0.00      0.00    270.00      0.20    270.00      0.00      0.00         0        30         0         6
       150    936.83      2.48      1.22     91.38     -1.46     -3.00      0.00      0.00      0.00      0.00      0.00    270.00      0.00      0.00         0        40         0         6
       160    936.77      2.22      1.13     92.47     -1.48     -2.00      0.00      0.35      0.38     29.00      0.67     63.00      0.30      0.17         0        40         0         6
       170    936.69      1.77      0.80     93.29     -1.46     -3.00      0.00      0.05      0.08    134.00      0.41     76.00     -0.04      0.04         0        40         0         6
       180    936.62      3.23      1.34     87.38     -1.50     -3.00      0.00      0.01      0.02    270.00      0.50    270.00      0.00     -0.01         0        30         0         6
       190    936.49      1.93      0.91     92.90     -1.47     -3.00      0.00      0.00      0.00    270.00      0.20    270.00      0.00      0.00         0        50         0         6
       200    936.39      2.72      1.08     88.90     -1.48     -2.00      0.00      0.02      0.02    270.00      0.40    270.00      0.00     -0.02         0        30         0         6
       210    936.35      3.61      1.60     86.69     -1.43     -3.00      0.00      0.10      0.11    270.00      0.50    270.00      0.00     -0.10         0        30         0         6
       220    936.32      2.05      1.07     93.20     -1.35     -3.00      0.00      0.00      0.00      0.00      0.00    270.00      0.00      0.00         0        50         0         6
       230    936.35      2.97      1.30     88.73     -1.46     -3.00      0.00      0.11      0.14    112.00      0.81     97.00     -0.04      0.11         0        30         0         6
       240    936.37      2.06      1.06     93.11     -1.42     -3.00      0.00      0.00      0.00      0.00      0.10      0.00      0.00      0.00         0        40         0         6
       250    936.27      1.97      0.97     93.07     -1.52     -3.00      0.00      0.01      0.01      0.00      0.30      0.00      0.01      0.00         0        40         0         6
       260    936.19      2.29      1.04     91.48     -1.48     -3.00      0.00      0.18      0.18      0.00      0.90      0.00      0.18      0.00         0        41         0         6
       270    936.10      1.83      0.95     93.88     -1.45     -3.00      0.00      0.00      0.00      0.00      0.20      0.00      0.00      0.00         0        50         0         6
       280    936.07      1.92      0.72     91.74     -1.71     -4.00      0.00      0.02      0.03    122.00      1.10     90.00     -0.01      0.02         0        41         0         6
       290    935.94      2.23      1.15     92.51     -1.65     -4.00      0.00      0.98      1.00     80.00      1.33     77.00      0.17      0.97         0        40         0         6
       300    935.83      1.64      0.81     94.21     -1.48     -4.00      0.00      0.13      0.13      4.00      0.76     67.00      0.13      0.01         0        40         0         6
       310    935.76      1.43      0.63     94.44     -1.33     -4.00      0.00      0.03      0.03      0.00      0.30      0.00      0.03      0.00         0        41         0         6
       320    935.65      1.08      0.46     95.64     -0.67     -4.00      0.00      0.00      0.00      0.00      0.10      0.00      0.00      0.00         0        50         0         6
       330    935.52      0.83      0.21     95.65      0.16     -4.00      0.00      0.00      0.00      0.00      0.10    180.00      0.00      0.00         0        51         0         6
       340    935.45      2.10      0.91     91.85      1.11     -4.00      0.00      0.03      0.04    120.00      0.80     90.00     -0.01      0.03         0        32         0         6
       350    935.37      2.46      1.29     91.98      1.75     -4.00      0.00      0.00      0.00      0.00      0.00     90.00      0.00      0.00         0        51         0         6
       360    935.38      1.64      0.80     94.14      2.28     -2.00      0.00      0.00      0.00    180.00      0.10    180.00      0.00      0.00         0        51         0         6
       370    935.37      1.77      0.79     93.17      2.68      1.00      0.00      0.00      0.00      0.00      0.00    180.00      0.00      0.00         0        41         0         6
       380    935.28      1.71      1.00     95.03      3.01      9.00      0.00      0.00      0.00      0.00      0.00    180.00      0.00      0.00         0        51         0         6
       390    935.24      1.75      0.82     93.55      3.24     21.00      0.00      0.51      0.54     33.00      1.06     41.00      0.43      0.28         0        41         0         6
       400    935.20      0.93      0.33     95.78      3.54     36.00      0.00      0.85      0.89     67.00      1.32     81.00      0.34      0.79         0        50         0         6
       410    935.14      1.20      0.41     94.42      3.65     53.00      0.00      0.25      0.30     69.00      1.20     85.00      0.09      0.23         0        41         0         6
       420    935.05      1.45      0.74     95.04      3.67     63.00      0.00      0.09      0.09      0.00      0.40      0.00      0.09      0.00         0        50         0         6
       430    934.94      1.41      0.55     93.97      3.66     66.00      0.00      0.41      0.45     62.00      0.92     77.00      0.19      0.37         0        41         0         6
       440    934.88      1.50      0.81     95.20      3.68     69.00      0.00      0.49      0.54     31.00      0.86     54.00      0.42      0.26         0        50         0         6
       450    934.81      1.62      0.85     94.59      3.76     77.00      0.00      0.72      0.73     49.00      1.00     53.00      0.47      0.54         0        41         0         6
       460    934.77      1.69      0.99     95.08      4.05    124.00      0.00      0.66      0.71     38.00      1.00     53.00      0.53      0.40         0        50         0         6
       470    934.67      1.85      1.02     94.20      4.25    217.00      0.00      0.83      0.85     43.00      1.79     27.00      0.61      0.56         0        40         0         6
       480    934.57      2.27      1.37     93.81      4.13    285.00      0.00      0.58      0.62     27.00      1.36     17.00      0.51      0.26         0        40         0         6
       490    934.48      2.66      1.74     93.60      4.28    279.00      0.00      0.49      0.53     24.00      1.71     21.00      0.45      0.20         0        50         0         6
