Ort;OTELFINGEN;OTELFINGEN
Parameter;Temperatur mittel;Niederschlag
Einheit;ºC;mm
18.04.2017 00:00;2.8;0.0
18.04.2017 01:00;2.6;0.2
18.04.2017 02:00;3.5;0.0
18.04.2017 03:00;3.3;0.0
18.04.2017 04:00;2.5;0.0
18.04.2017 05:00;2.6;0.0
18.04.2017 06:00;3.7;0.0
18.04.2017 07:00;4.5;0.0
18.04.2017 08:00;5.0;0.0
18.04.2017 09:00;5.4;0.0
18.04.2017 10:00;6.1;0.0
18.04.2017 11:00;7.3;0.0
18.04.2017 12:00;6.8;0.0
18.04.2017 13:00;4.8;0.0
18.04.2017 14:00;5.1;0.4
18.04.2017 15:00;4.3;0.0
18.04.2017 16:00;4.8;0.2
18.04.2017 17:00;4.7;0.0
18.04.2017 18:00;2.6;0.0
18.04.2017 19:00;2.5;0.0
18.04.2017 20:00;2.2;0.0
18.04.2017 21:00;2.0;0.0
18.04.2017 22:00;1.9;0.0
18.04.2017 23:00;1.9;0.2
19.04.2017 00:00;1.6;0.0
19.04.2017 01:00;1.7;0.0
19.04.2017 02:00;2.0;0.0
19.04.2017 03:00;2.3;0.0
19.04.2017 04:00;2.1;0.0
19.04.2017 05:00;2.1;0.0
19.04.2017 06:00;2.6;0.0
19.04.2017 07:00;4.0;0.0
19.04.2017 08:00;3.8;0.0
19.04.2017 09:00;2.8;0.0
19.04.2017 10:00;2.0;0.2
19.04.2017 11:00;2.3;0.2
19.04.2017 12:00;2.3;0.4
19.04.2017 13:00;2.4;0.0
19.04.2017 14:00;1.4;0.2
19.04.2017 15:00;2.0;0.2
19.04.2017 16:00;2.9;0.0
19.04.2017 17:00;2.4;0.0
19.04.2017 18:00;2.2;0.2
19.04.2017 19:00;2.0;0.0
19.04.2017 20:00;1.3;0.2
19.04.2017 21:00;0.9;0.0
19.04.2017 22:00;0.2;0.0
19.04.2017 23:00;-0.2;0.0
20.04.2017 00:00;-0.5;0.0
20.04.2017 01:00;-0.8;0.0
20.04.2017 02:00;-1.0;0.0
20.04.2017 03:00;-1.2;0.0
20.04.2017 04:00;-1.5;0.0
20.04.2017 05:00;-1.0;0.0
20.04.2017 06:00;0.3;0.0
20.04.2017 07:00;2.2;0.0
20.04.2017 08:00;3.4;0.0
20.04.2017 09:00;4.5;0.0
20.04.2017 10:00;5.2;0.0
20.04.2017 11:00;6.1;0.0
20.04.2017 12:00;6.3;0.0
20.04.2017 13:00;7.3;0.0
20.04.2017 14:00;8.0;0.0
20.04.2017 15:00;7.7;0.0
20.04.2017 16:00;7.4;0.0
20.04.2017 17:00;5.7;0.0
20.04.2017 18:00;4.2;0.0
20.04.2017 19:00;2.9;0.0
20.04.2017 20:00;2.1;0.0
20.04.2017 21:00;1.9;0.0
20.04.2017 22:00;0.8;0.0
20.04.2017 23:00;0.1;0.0
21.04.2017 00:00;-0.4;0.0
21.04.2017 01:00;-1.0;0.0
21.04.2017 02:00;-1.6;0.0
21.04.2017 03:00;-2.0;0.0
21.04.2017 04:00;-2.0;0.0
21.04.2017 05:00;-1.0;0.0
21.04.2017 06:00;1.7;0.0
21.04.2017 07:00;4.4;0.0
21.04.2017 08:00;6.6;0.0
21.04.2017 09:00;8.2;0.0
21.04.2017 10:00;9.7;0.0
21.04.2017 11:00;11.0;0.0
21.04.2017 12:00;12.3;0.0
21.04.2017 13:00;13.1;0.0
21.04.2017 14:00;14.2;0.0
21.04.2017 15:00;14.6;0.0
21.04.2017 16:00;14.1;0.0
21.04.2017 17:00;11.1;0.0
21.04.2017 18:00;9.3;0.0
21.04.2017 19:00;8.3;0.0
21.04.2017 20:00;7.2;0.0
21.04.2017 21:00;6.0;0.0
21.04.2017 22:00;4.9;0.0
21.04.2017 23:00;4.3;0.0
22.04.2017 00:00;3.6;0.0
22.04.2017 01:00;2.7;0.0
22.04.2017 02:00;2.1;0.0
22.04.2017 03:00;1.7;0.0
22.04.2017 04:00;1.2;0.0
22.04.2017 05:00;2.4;0.0
22.04.2017 06:00;5.8;0.0
22.04.2017 07:00;9.0;0.0
22.04.2017 08:00;11.0;0.0
22.04.2017 09:00;12.8;0.0
22.04.2017 10:00;14.4;0.0
22.04.2017 11:00;15.2;0.0
22.04.2017 12:00;15.5;0.0
22.04.2017 13:00;15.3;0.0
22.04.2017 14:00;15.1;0.0
22.04.2017 15:00;13.8;0.0
22.04.2017 16:00;13.2;0.0
22.04.2017 17:00;12.5;0.0
22.04.2017 18:00;11.6;0.0
22.04.2017 19:00;11.1;0.0
22.04.2017 20:00;10.4;0.0
22.04.2017 21:00;10.0;0.0
22.04.2017 22:00;9.7;0.0
22.04.2017 23:00;8.6;0.0
23.04.2017 00:00;7.4;0.0
23.04.2017 01:00;6.3;0.0
23.04.2017 02:00;6.0;0.0
23.04.2017 03:00;5.7;0.0
23.04.2017 04:00;5.4;0.0
23.04.2017 05:00;5.3;0.0
23.04.2017 06:00;7.3;0.0
23.04.2017 07:00;9.0;0.0
23.04.2017 08:00;9.5;0.0
23.04.2017 09:00;9.8;0.0
23.04.2017 10:00;10.9;0.0
23.04.2017 11:00;11.8;0.0
23.04.2017 12:00;12.8;0.0
23.04.2017 13:00;12.9;0.0
23.04.2017 14:00;13.9;0.0
23.04.2017 15:00;14.4;0.0
23.04.2017 16:00;13.9;0.0
23.04.2017 17:00;11.9;0.0
23.04.2017 18:00;9.8;0.0
23.04.2017 19:00;9.2;0.0
23.04.2017 20:00;8.7;0.0
23.04.2017 21:00;7.9;0.0
23.04.2017 22:00;6.7;0.0
23.04.2017 23:00;5.6;0.0
24.04.2017 00:00;4.7;0.0
24.04.2017 01:00;3.7;0.0
24.04.2017 02:00;2.6;0.0
24.04.2017 03:00;2.1;0.0
24.04.2017 04:00;1.5;0.0
24.04.2017 05:00;2.8;0.0
24.04.2017 06:00;5.7;0.0
24.04.2017 07:00;7.9;0.0
24.04.2017 08:00;9.7;0.0
24.04.2017 09:00;11.4;0.0
24.04.2017 10:00;13.4;0.0
24.04.2017 11:00;15.7;0.0
24.04.2017 12:00;17.2;0.0
24.04.2017 13:00;18.5;0.0
